NULL	1699.0	St. Barth
NULL	3033.0	St. Vincent Grenadines
812.0	401.0	Sudan
55.0	5889.0	Suriname
5805.0	1030010.0	Sweden
1998.0	910283.0	Switzerland
82.0	NULL	Syria
7.0	85563.0	Taiwan
66.0	NULL	Tajikistan
21.0	NULL	Tanzania
58.0	749213.0	Thailand
NULL	4238.0	Timor-Leste
27.0	55741.0	Togo
12.0	18036.0	Trinidad and Tobago
63.0	119193.0	Tunisia
6058.0	6061930.0	Turkey
2.0	1940.0	Turks and Caicos
369.0	6265918.0	UAE
41403.0	1.5177265E7	UK
177424.0	7.3868332E7	USA
19.0	336713.0	Uganda
2184.0	1356698.0	Ukraine
41.0	154431.0	Uruguay
252.0	1377915.0	Uzbekistan
NULL	NULL	Vatican City
311.0	1678639.0	Venezuela
25.0	817208.0	Vietnam
1.0	NULL	Western Sahara
796376.0	NULL	World
541.0	120.0	Yemen
274.0	103023.0	Zambia
151.0	149748.0	Zimbabwe
WARN: The method class org.apache.commons.logging.impl.SLF4JLogFactory#release() was invoked.
WARN: Please see http://www.slf4j.org/codes.html#release for an explanation.
